Id,Label,type,date,season,formats,medium,location,coverage,logo,teamsize,NodeType
champions-showcase-3-2023,2023 Magic Online Champions Showcase 3,Champions Showcase,"January 13, 2024",2022-23,Vintage Cube Draft;Modern,Magic Online,Global,https://magic.gg/events/2023-magic-online-champions-showcase-season-3,,1,Event
regional-championship-atlanta-2023,Dreamhack Magic Showdown: Atlanta,Regional Championship,"December 16-17, 2023",2022-23,Pioneer,Tabletop,"Atlanta, Georgia, United States",https://magic.gg/news/dreamhack-magic-showdown-atlanta-r4-2023-final-standings,,1,Event
eternal-championships-legacy-north-america-2023,North America Legacy Championships 2023,Eternal Championships - Legacy,"December 8-10, 2023",2023,Legacy,Tabletop,"Pittsburgh, Pennsylvania, United States",https://www.mtggoldfish.com/articles/this-week-in-legacy-north-america-eternal-weekend-2023,,1,Event
eternal-championships-vintage-north-america-2023,North America Vintage Championships 2023,Eternal Championships - Vintage,"December 8-10, 2023",2023,Vintage,Tabletop,"Pittsburgh, Pennsylvania, United States",https://www.mtggoldfish.com/articles/vintage-101-north-america-eternal-weekend-2023,,1,Event
eternal-championships-vintage-asia-2023,Asia Vintage Championships 2023,Eternal Championships - Vintage,"November 26, 2023",2023,Vintage,Tabletop,"Aichi, Japan",https://www.mtggoldfish.com/articles/vintage-101-asia-eternal-weekend-2023,,1,Event
eternal-championships-legacy-asia-2023,Asia Legacy Championships 2023,Eternal Championships - Legacy,"November 25-26, 2023",2023,Legacy,Tabletop,"Aichi, Japan",https://www.mtggoldfish.com/articles/this-week-in-legacy-asia-eternal-weekend-2023,,1,Event
regional-championship-nagoya-2023,Champions Cup Final: Nagoya,Regional Championship,"November 25-26, 2023",2022-23,Pioneer,Tabletop,"Nagoya, Japan",https://magic.gg/events/champions-cup-final-nagoya-r4-2023,,1,Event
regional-championship-santiago-3-2023,South America Magic Series: Santiago,Regional Championship,"November 25-26, 2023",2022-23,Pioneer,Tabletop,"Santiago de Chile, Chile",https://magic.gg/events/south-america-magic-series-santiago-2023-r3,,1,Event
regional-championship-toronto-2-2023,F2F Tour Championship: Toronto,Regional Championship,"November 25-26, 2023",2022-23,Pioneer,Tabletop,"Toronto, Canada",https://magic.gg/news/f2f-tour-championship-toronto-r4-2023-final-standings,,1,Event
eternal-championships-legacy-europe-2023,EU Legacy Championships 2023,Eternal Championships - Legacy,"November 18, 2023",2023,Legacy,Tabletop,"Prague, Czech Republic",https://www.mtggoldfish.com/articles/this-week-in-legacy-europe-eternal-weekend-2023,,1,Event
eternal-championships-vintage-europe-2023,EU Vintage Championships 2023,Eternal Championships - Vintage,"November 18-19, 2023",2023,Vintage,Tabletop,"Prague, Czech Republic",https://www.mtggoldfish.com/articles/vintage-101-europe-eternal-weekend-2023,,1,Event
regional-championship-mexico-city-3-2023,The Gathering Showdown: Mexico City,Regional Championship,"November 4-5, 2023",2022-23,Pioneer,Tabletop,"Mexico City, Mexico",https://magic.gg/events/the-gathering-showdown-mexico-city-r4-2023,,1,Event
regional-championship-sao-paulo-3-2023,City Class Showdown: São Paulo,Regional Championship,"November 4-5, 2023",2022-23,Pioneer,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-r4-2023,,1,Event
regional-championship-singapore-2-2023,MTG South East Asia Championship: Singapore,Regional Championship,"November 4-5, 2023",2022-23,Pioneer,Tabletop,"Singapore, Singapore",https://magic.gg/events/mtg-sea-championship-r4-2023,,1,Event
regional-championship-taipei-city-3-2023,MIT Championship Finals: Taipei City,Regional Championship,"November 4-5, 2023",2022-23,Pioneer,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-finals-taipei-city-r4-2023,,1,Event
regional-championship-sydney-2-2023,ANZ Super Series Finals: Sydney,Regional Championship,"October 27-29, 2023",2022-23,Pioneer,Tabletop,"Sydney, Australia",https://magic.gg/events/anz-super-series-finals-sydney-r4-2023,,1,Event
regional-championship-tianjin-2023,MTG China Open: Tianjin,Regional Championship,"October 27-29, 2023",2022-23,Pioneer,Tabletop,"Tianjin, China",https://magic.gg/events/mtg-china-open-tianjin-r4-2023,,1,Event
arena-championship-4-2023,2023 Arena Championship 4,Arena Championship,"October 7-8, 2023",2022-23,Historic;Wilds of Eldraine Draft,Arena,Global,https://magic.gg/events/arena-championship-4,,1,Event
regional-championship-calgary-2023,F2F Tour Championship: Calgary,Regional Championship,"September 30-October 1, 2023",2022-23,Pioneer,Tabletop,"Calgary, Canada",https://magic.gg/events/f2f-tour-championship-calgary-2023,,1,Event
regional-championship-lille-2023,Legacy European Championship Lille,Regional Championship,"September 30-October 1, 2023",2022-23,Pioneer,Tabletop,"Lille, France",https://magic.gg/events/legacy-european-championship-lille-2023,,1,Event
world-championships-2023,World Championship XXIX,World Championships,"September 22-25, 2023",2022-23,Draft;Standard,Tabletop,"Las Vegas, Nevada, United States",https://magic.gg/events/magic-world-championship-xxix,,1,Event
champions-showcase-2-2023,2023 Magic Online Champions Showcase 2,Champions Showcase,"August 26, 2023",2022-23,Vintage Cube Draft;Legacy,Magic Online,Global,https://magic.gg/events/2023-magic-online-champions-showcase-season-2,,1,Event
pro-tour-lord-of-the-rings-2023,Pro Tour Lord of the Rings,Pro Tour,"July 28-30, 2023",2022-23,Modern;Draft,Tabletop,"Barcelona, Spain",https://magic.gg/events/pro-tour-the-lord-of-the-rings,,1,Event
regional-championship-santiago-2-2023,South America Magic Series: Santiago,Regional Championship,"July 1-2, 2023",2022-23,Pioneer,Tabletop,"Santiago de Chile, Chile",https://magic.gg/events/south-america-magic-series-santiago-2023-r3,,1,Event
regional-championship-sao-paulo-2-2023,City Class Showdown: São Paulo,Regional Championship,"July 1-2, 2023",2022-23,Pioneer,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-2023-r3,,1,Event
regional-championship-chiba-2023,Champions Cup Final: Chiba,Regional Championship,"June 24-25, 2023",2022-23,Pioneer,Tabletop,"Chiba, Japan",https://magic.gg/events/champions-cup-final-chiba-r3-2023,,1,Event
regional-championship-sydney-1-2023,ANZ Super Finals: Sydney,Regional Championship,"June 24-25, 2023",2022-23,Pioneer,Tabletop,"Sydney, Australia",https://magic.gg/events/anz-super-series-finals-sydney-r3-2023,,1,Event
regional-championship-edmonton-2023,F2F Tour Championship: Edmonton,Regional Championship,"June 17-18, 2023",2022-23,Pioneer,Tabletop,"Edmonton, Canada",https://magic.gg/events/f2f-tour-championship-edmonton-2023-round-3,,1,Event
regional-championship-athens-2023,Legacy European Championship: Athens,Regional Championship,"June 10-11, 2023",2022-23,Pioneer,Tabletop,"Athens, Greece",https://magic.gg/events/legacy-european-championship-athens-2023,,1,Event
regional-championship-taipei-city-2-2023,MIT Championship Finals: Taipei City,Regional Championship,"June 10-11, 2023",2022-23,Pioneer,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-taipei-city-2023-round-3,,1,Event
regional-championship-dallas-2023,Dreamhack Magic Showdown: Dallas,Regional Championship,"June 3-4, 2023",2022-23,Pioneer,Tabletop,"Dallas, Texas, United States",https://magic.gg/events/dreamhack-magic-showdown-dallas-2023,,1,Event
regional-championship-mexico-city-2-2023,The Gathering Showdown: Mexico City,Regional Championship,"June 3-4, 2023",2022-23,Pioneer,Tabletop,"Mexico City, Mexico",https://magic.gg/events/the-gathering-showdown-mexico-city,,1,Event
regional-championship-shanghai-2023,MTG China Open: Shanghai,Regional Championship,"June 3-4, 2023",2022-23,Pioneer,Tabletop,"Shanghai, China",https://magic.gg/events/mtg-china-open-shanghai-2023-round-3,,1,Event
regional-championship-singapore-1-2023,MTG South East Asia Championship: Singapore,Regional Championship,"June 3-4, 2023",2022-23,Pioneer,Tabletop,"Singapore, Singapore",https://magic.gg/events/mtg-sea-championship-2023-round-3,,1,Event
regional-championship-toronto-1-2023,F2F Tour Weekend: Toronto,Regional Championship,"June 3-4, 2023",2022-23,Pioneer,Tabletop,"Toronto, Canada",https://magic.gg/events/f2f-tour-championship-toronto-2023,,1,Event
arena-championship-3-2023,2023 Arena Championship 3,Arena Championship,"May 27-28, 2023",2022-23,March of the Machine Draft;Standard,Arena,Global,https://magic.gg/events/arena-championship-3,,1,Event
champions-showcase-1-2023,2023 Magic Online Champions Showcase 1,Champions Showcase,"May 20, 2023",2022-23,Vintage Cube Draft;Modern,Magic Online,Global,https://magic.gg/events/2023-magic-online-champions-showcase-season-1,,1,Event
pro-tour-march-of-the-machine-2023,Pro Tour March of the Machine,Pro Tour,"May 5-7, 2023",2022-23,Draft;Standard,Tabletop,"Milwaukee, Minnesota, United States",https://www.magic.gg/events/pro-tour-march-of-the-machine,,1,Event
regional-championship-san-diego-2023,Dreamhack Magic Showdown: San Diego,Regional Championship,"April 7-9, 2023",2022-23,Standard,Tabletop,"San Diego, California, United States",https://magic.gg/events/dreamhack-magic-showdown-san-diego-cycle2-2023,,1,Event
regional-championship-santiago-1-2023,South America Magic Series: Santiago,Regional Championship,"March 31-April 2, 2023",2022-23,Standard,Tabletop,"Santiago de Chile, Chile",https://magic.gg/events/south-america-magic-series-santiago-2023-cycle-2,,1,Event
regional-championship-beijing-2023,MTG China Open: Beijing,Regional Championship,"March 24-26, 2023",2022-23,Standard,Tabletop,"Beijing, China",https://magic.gg/events/mtg-china-open-cycle-2-2023,,1,Event
regional-championship-ottawa-2023,F2F Tour Weekend: Ottawa,Regional Championship,"March 24-26, 2023",2022-23,Standard,Tabletop,"Ottawa, Canada",https://magic.gg/events/f2f-tour-weekend-ottawa-2023-cycle-2,,1,Event
arena-championship-2-2023,2023 Arena Championship 2,Arena Championship,"March 18-19, 2023",2022-23,All Will Be One Draft;Historic,Arena,Global,https://magic.gg/events/arena-championship-2,,1,Event
regional-championship-mexico-city-1-2023,Gathering Showdown Series: Mexico City,Regional Championship,"March 17-19, 2023",2022-23,Standard,Tabletop,"Mexico City, Mexico",https://magic.gg/events/gathering-showdown-series-mexico-city-2023,,1,Event
regional-championship-naples-2023,Legacy European Championship: Naples,Regional Championship,"March 10-11, 2023",2022-23,Standard,Tabletop,"Naples, Italy",https://magic.gg/events/legacy-european-championship-naples-2023,,1,Event
regional-championship-sao-paulo-1-2023,City Class Showdown: São Paulo,Regional Championship,"March 10-11, 2023",2022-23,Standard,Tabletop,"São Paulo, Brazil",https://magic.gg/events/city-class-showdown-sao-paulo-2023,,1,Event
regional-championship-taipei-city-1-2023,MIT Championship Finals: Taipei City,Regional Championship,"March 10-11, 2023",2022-23,Standard,Tabletop,"Taipei City, Taiwan",https://magic.gg/events/mit-championship-finals-taipei-city-2023,,1,Event
regional-championship-vancouver-2023,F2F Tour Championship: Vancouver,Regional Championship,"March 10-11, 2023",2022-23,Standard,Tabletop,"Vancouver, Canada",https://magic.gg/events/f2f-tour-championship-vancouver-2023,,1,Event
regional-championship-melbourne-2023,ANZ Super Series Finals: Melbourne,Regional Championship,"March 3-4, 2023",2022-23,Standard,Tabletop,"Melbourne, Australia",https://magic.gg/events/anz-super-series-finals-melbourne-2023,,1,Event
regional-championship-philippines-2023,SEA Championship Final: Philippines,Regional Championship,"March 3-4, 2023",2022-23,Standard,Tabletop,"Clark, Philippines",https://magic.gg/events/sea-championship-final-philippines,,1,Event
regional-championship-yokohama-2023,Champions Cup Final: Yokohama,Regional Championship,"March 3-4, 2023",2022-23,Standard,Tabletop,"Yokohama, Japan",https://magic.gg/events/champions-cup-final-yokohama,,1,Event
pro-tour-phyrexia-2023,Pro Tour Phyrexia,Pro Tour,"February 17-19, 2023",,Draft;Pioneer,Tabletop,"Philadelphia, Pennsylvania, United States",https://www.magic.gg/events/pro-tour-phyrexia,,1,Event
champions-showcase-3-2022,2022 Magic Online Champions Showcase 3,Champions Showcase,"January 21, 2023",2022-23,Vintage Cube Draft;Modern,Magic Online,Global,https://magic.gg/events/2022-magic-online-champions-showcase-season-3,,1,Event
regional-championship-beijing-2022,MTG China Open: Beijing,Regional Championship,"December 24-25, 2022",2022-23,Pioneer,Tabletop,"Beijing, China",https://magic.gg/events/mtg-china-open-2022,,1,Event
regional-championship-hong-kong-2022,MTG China Open: Hong Kong,Regional Championship,"December 24-25, 2022",2022-23,Pioneer,Tabletop,"Hong Kong, China",https://magic.gg/events/mtg-china-open-2022,,1,Event
regional-championship-shanghai-2022,MTG China Open: Shanghai,Regional Championship,"December 24-25, 2022",2022-23,Pioneer,Tabletop,"Shanghai, China",https://magic.gg/events/mtg-china-open-2022,,1,Event
regional-championship-shenzhen-2022,MTG China Open: Shenzhen,Regional Championship,"December 24-25, 2022",2022-23,Pioneer,Tabletop,"Shenzhen, China",https://magic.gg/events/mtg-china-open-2022,,1,Event
regional-championship-mexico-city-2022,The Gathering Showdown Series: Mexico City,Regional Championship,"December 17-18, 2022",2022-23,Pioneer,Tabletop,"Mexico City, Mexico",https://magic.gg/events/the-gathering-showdown-series-mexico-city,,1,Event
eternal-championships-vintage-mtgo-2022,MTGO Vintage Championships 2022,Eternal Championships - Vintage,"December 11, 2022",2022,Vintage,Magic Online,Global,https://www.mtggoldfish.com/articles/vintage-101-eternal-weekend-2022,,1,Event
eternal-championships-legacy-mtgo-2022,MTGO Legacy Championships 2022,Eternal Championships - Legacy,"December 10, 2022",2022,Legacy,Magic Online,Global,https://www.mtggoldfish.com/articles/this-week-in-legacy-eternal-weekend-2022,,1,Event
eternal-championships-legacy-north-america-2022,North America Legacy Championships 2022,Eternal Championships - Legacy,"December 10-11, 2022",2022,Legacy,Tabletop,"Philadelphia, Pennsylvania, United States",https://www.mtggoldfish.com/articles/this-week-in-legacy-eternal-weekend-2022,,1,Event
regional-championship-calgary-2022,F2F Tour Championship: Calgary,Regional Championship,"December 10-11, 2022",2022-23,Pioneer,Tabletop,"Calgary, Canada",https://magic.gg/events/f2f-tour-championship-calgary,,1,Event
eternal-championships-vintage-north-america-2022,North America Vintage Championships 2022,Eternal Championships - Vintage,"December 9-11, 2022",2022,Vintage,Tabletop,"Philadelphia, Pennsylvania, United States",https://www.mtggoldfish.com/articles/vintage-101-eternal-weekend-2022,,1,Event
